name,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles,fumbles_lost,opp,home,score,opp_score,winner,spread,total,week,pos,fpts
Joshua Dobbs,ARI,21,30,132,0,0,3,18,31,78.7,3,-3,0,1,0,0,0,0,0,3,2,WAS,0,16,20,0,-4,36,1,QB,2.9800000000000004
James Conner,ARI,0,0,0,0,0,0,0,0,0.0,14,62,0,12,5,5,8,0,11,0,0,WAS,0,16,20,0,-4,36,1,RB,12.0
Marquise Brown,ARI,0,0,0,0,0,0,0,0,0.0,1,29,0,29,5,3,28,0,11,0,0,WAS,0,16,20,0,-4,36,1,WR,8.700000000000001
Rondale Moore,ARI,0,0,0,0,0,0,0,0,0.0,2,12,0,8,3,3,33,0,31,0,0,WAS,0,16,20,0,-4,36,1,WR,7.5
Trey McBride,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,23,0,13,0,0,WAS,0,16,20,0,-4,36,1,TE,4.300000000000001
Zach Ertz,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,6,21,0,6,0,0,WAS,0,16,20,0,-4,36,1,TE,8.1
Michael Wilson,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,2,19,0,15,0,0,WAS,0,16,20,0,-4,36,1,WR,3.9
Zach Pascal,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,WAS,0,16,20,0,-4,36,1,WR,0.0
Keaontay Ingram,ARI,0,0,0,0,0,0,0,0,0.0,5,-4,0,6,0,0,0,0,0,0,0,WAS,0,16,20,0,-4,36,1,RB,-0.4
Sam Howell,WAS,19,31,202,1,1,6,46,32,77.6,2,11,1,6,0,0,0,0,0,1,1,ARI,1,20,16,1,4,36,1,QB,17.18
Brian Robinson,WAS,0,0,0,0,0,0,0,0,0.0,19,59,0,7,2,1,7,1,7,0,0,ARI,1,20,16,1,4,36,1,RB,13.6
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,0.0,3,9,0,3,1,1,10,0,10,1,1,ARI,1,20,16,1,4,36,1,RB,1.9
Chris Rodriguez,WAS,0,0,0,0,0,0,0,0,0.0,3,7,0,3,0,0,0,0,0,0,0,ARI,1,20,16,1,4,36,1,RB,0.7000000000000001
Curtis Samuel,WAS,0,0,0,0,0,0,0,0,0.0,1,6,0,6,5,5,54,0,32,0,0,ARI,1,20,16,1,4,36,1,WR,11.0
Logan Thomas,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,8,4,43,0,19,0,0,ARI,1,20,16,1,4,36,1,TE,8.3
Jahan Dotson,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,5,40,0,14,0,0,ARI,1,20,16,1,4,36,1,WR,9.0
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,2,31,0,19,0,0,ARI,1,20,16,1,4,36,1,WR,5.1
Cole Turner,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,17,0,17,0,0,ARI,1,20,16,1,4,36,1,TE,2.7
Jimmy Garoppolo,LV,20,26,200,2,1,0,0,21,107.9,9,11,0,8,0,0,0,0,0,1,0,DEN,0,17,16,1,1,33,1,QB,16.1
Josh Jacobs,LV,0,0,0,0,0,0,0,0,0.0,19,48,0,7,3,2,23,0,19,0,0,DEN,0,17,16,1,1,33,1,RB,9.1
Zamir White,LV,0,0,0,0,0,0,0,0,0.0,1,2,0,2,1,1,5,0,5,0,0,DEN,0,17,16,1,1,33,1,RB,1.7
Jakobi Meyers,LV,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,9,81,2,21,0,0,DEN,0,17,16,1,1,33,1,WR,29.1
Davante Adams,LV,0,0,0,0,0,0,0,0,0.0,0,0,0,0,9,6,66,0,18,0,0,DEN,0,17,16,1,1,33,1,WR,12.6
Austin Hooper,LV,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,20,0,20,0,0,DEN,0,17,16,1,1,33,1,TE,3.0
DeAndre Carter,LV,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,5,0,5,0,0,DEN,0,17,16,1,1,33,1,WR,1.5
Ameer Abdullah,LV,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,DEN,0,17,16,1,1,33,1,RB,0.0
Russell Wilson,DEN,27,34,177,2,0,2,11,21,108.0,1,1,0,1,0,0,0,0,0,0,0,LV,1,16,17,0,-1,33,1,QB,15.18
Javonte Williams,DEN,0,0,0,0,0,0,0,0,0.0,13,52,0,11,6,4,5,0,7,0,0,LV,1,16,17,0,-1,33,1,RB,9.7
Samaje Perine,DEN,0,0,0,0,0,0,0,0,0.0,8,41,0,12,4,4,37,0,20,0,0,LV,1,16,17,0,-1,33,1,RB,11.8
Adam Trautman,DEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,5,34,0,15,0,0,LV,1,16,17,0,-1,33,1,TE,8.4
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,4,32,1,15,0,0,LV,1,16,17,0,-1,33,1,WR,13.2
Brandon Johnson,DEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,2,31,0,21,0,0,LV,1,16,17,0,-1,33,1,WR,5.1
Greg Dulcich,DEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,22,0,13,0,0,LV,1,16,17,0,-1,33,1,TE,4.2
Lil'Jordan Humphrey,DEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,11,1,6,0,0,LV,1,16,17,0,-1,33,1,WR,9.1
Marvin Mims,DEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,9,0,5,0,0,LV,1,16,17,0,-1,33,1,WR,2.9
Michael Burton,DEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,3,0,3,0,0,LV,1,16,17,0,-1,33,1,RB,1.3
Phillip Dorsett,DEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,LV,1,16,17,0,-1,33,1,WR,0.0
Jaleel McLaughlin,DEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,-7,0,-7,0,0,LV,1,16,17,0,-1,33,1,RB,0.2999999999999999
Josh Allen,BUF,29,41,236,1,3,5,19,26,62.7,6,36,0,14,0,0,0,0,0,2,1,NYJ,0,16,22,0,-6,38,1,QB,13.04
James Cook,BUF,0,0,0,0,0,0,0,0,0.0,12,46,0,13,6,4,17,0,6,0,0,NYJ,0,16,22,0,-6,38,1,RB,10.3
Latavius Murray,BUF,0,0,0,0,0,0,0,0,0.0,2,8,0,6,2,1,9,0,9,0,0,NYJ,0,16,22,0,-6,38,1,RB,2.7
Deonte Harty,BUF,0,0,0,0,0,0,0,0,0.0,1,4,0,4,4,3,9,0,5,0,0,NYJ,0,16,22,0,-6,38,1,WR,4.3
Damien Harris,BUF,0,0,0,0,0,0,0,0,0.0,1,3,0,3,2,2,16,0,13,0,0,NYJ,0,16,22,0,-6,38,1,RB,3.9
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,13,10,102,1,18,0,0,NYJ,0,16,22,0,-6,38,1,WR,26.200000000000003
Gabe Davis,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,2,32,0,26,0,0,NYJ,0,16,22,0,-6,38,1,WR,5.2
Dalton Kincaid,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,4,26,0,9,0,0,NYJ,0,16,22,0,-6,38,1,TE,6.6
Dawson Knox,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,3,25,0,15,0,0,NYJ,0,16,22,0,-6,38,1,TE,5.5
Zach Wilson,NYJ,14,21,140,1,1,2,13,24,81.4,4,6,0,6,0,0,0,0,0,0,0,BUF,1,22,16,1,6,38,1,QB,9.2
Aaron Rodgers,NYJ,0,1,0,0,0,1,10,0,39.6,0,0,0,0,0,0,0,0,0,0,0,BUF,1,22,16,1,6,38,1,QB,0.0
Breece Hall,NYJ,0,0,0,0,0,0,0,0,0.0,10,127,0,83,2,1,20,0,20,1,0,BUF,1,22,16,1,6,38,1,RB,15.7
Dalvin Cook,NYJ,0,0,0,0,0,0,0,0,0.0,13,33,0,10,3,3,26,0,15,0,0,BUF,1,22,16,1,6,38,1,RB,8.9
Michael Carter,NYJ,0,0,0,0,0,0,0,0,0.0,1,6,0,6,2,2,12,0,6,0,0,BUF,1,22,16,1,6,38,1,RB,3.8
Allen Lazard,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,2,46,0,24,0,0,BUF,1,22,16,1,6,38,1,WR,6.6000000000000005
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,5,34,1,14,0,0,BUF,1,22,16,1,6,38,1,WR,14.4
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,2,0,2,0,0,BUF,1,22,16,1,6,38,1,TE,1.2
Randall Cobb,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,BUF,1,22,16,1,6,38,1,WR,0.0
Dak Prescott,DAL,13,24,143,0,0,0,0,49,72.0,1,6,0,6,0,0,0,0,0,0,0,NYG,0,40,0,1,40,40,1,QB,6.32
Cooper Rush,DAL,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,NYG,0,40,0,1,40,40,1,QB,0.0
Tony Pollard,DAL,0,0,0,0,0,0,0,0,0.0,14,70,2,25,3,2,12,0,7,1,0,NYG,0,40,0,1,40,40,1,RB,22.2
Rico Dowdle,DAL,0,0,0,0,0,0,0,0,0.0,6,24,0,10,0,0,0,0,0,0,0,NYG,0,40,0,1,40,40,1,RB,2.4000000000000004
KaVontae Turpin,DAL,0,0,0,0,0,0,0,0,0.0,3,14,1,7,3,2,11,0,7,0,0,NYG,0,40,0,1,40,40,1,WR,10.5
Deuce Vaughn,DAL,0,0,0,0,0,0,0,0,0.0,6,8,0,5,0,0,0,0,0,0,0,NYG,0,40,0,1,40,40,1,RB,0.8
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,4,77,0,49,0,0,NYG,0,40,0,1,40,40,1,WR,11.7
Brandin Cooks,DAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,2,22,0,16,0,0,NYG,0,40,0,1,40,40,1,WR,4.2
Jake Ferguson,DAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,2,11,0,9,0,0,NYG,0,40,0,1,40,40,1,TE,3.1
Michael Gallup,DAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,10,0,10,0,0,NYG,0,40,0,1,40,40,1,WR,2.0
Jalen Tolbert,DAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,NYG,0,40,0,1,40,40,1,WR,0.0
Peyton Hendershot,DAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,NYG,0,40,0,1,40,40,1,TE,0.0
Daniel Jones,NYG,15,28,104,0,2,7,47,24,32.4,13,43,0,11,0,0,0,0,0,2,0,DAL,1,0,40,0,-40,40,1,QB,6.46
Tyrod Taylor,NYG,2,2,6,0,0,0,0,9,79.2,0,0,0,0,0,0,0,0,0,0,0,DAL,1,0,40,0,-40,40,1,QB,0.24
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,0.0,12,51,0,18,4,3,12,0,7,0,0,DAL,1,0,40,0,-40,40,1,RB,9.3
Matt Breida,NYG,0,0,0,0,0,0,0,0,0.0,2,9,0,6,1,1,-3,0,-5,1,0,DAL,1,0,40,0,-40,40,1,RB,1.6
Gary Brightwell,NYG,0,0,0,0,0,0,0,0,0.0,1,5,0,5,2,2,6,0,9,0,0,DAL,1,0,40,0,-40,40,1,RB,3.1
Darren Waller,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,3,36,0,22,0,0,DAL,1,0,40,0,-40,40,1,TE,6.6
Isaiah Hodgins,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,1,24,0,24,1,1,DAL,1,0,40,0,-40,40,1,WR,2.4000000000000004
Lawrence Cager,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,17,0,9,0,0,DAL,1,0,40,0,-40,40,1,TE,3.7
Darius Slayton,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,3,15,0,8,0,0,DAL,1,0,40,0,-40,40,1,WR,4.5
Parris Campbell,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,1,2,0,2,0,0,DAL,1,0,40,0,-40,40,1,WR,1.2
Daniel Bellinger,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0,1,0,0,DAL,1,0,40,0,-40,40,1,TE,1.1
Sterling Shepard,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,DAL,1,0,40,0,-40,40,1,WR,0.0
Jalin Hyatt,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,DAL,1,0,40,0,-40,40,1,WR,0.0
Ryan Tannehill,TEN,16,34,198,0,3,3,17,46,28.8,3,5,0,2,0,0,0,0,0,0,0,NO,0,15,16,0,-1,31,1,QB,5.42
Derrick Henry,TEN,0,0,0,0,0,0,0,0,0.0,15,63,0,18,3,2,56,0,46,0,0,NO,0,15,16,0,-1,31,1,RB,13.900000000000002
Tyjae Spears,TEN,0,0,0,0,0,0,0,0,0.0,3,27,0,17,4,1,1,0,1,0,0,NO,0,15,16,0,-1,31,1,RB,3.8
Treylon Burks,TEN,0,0,0,0,0,0,0,0,0.0,1,9,0,9,3,2,18,0,14,0,0,NO,0,15,16,0,-1,31,1,WR,4.7
DeAndre Hopkins,TEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,13,7,65,0,16,0,0,NO,0,15,16,0,-1,31,1,WR,13.5
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,4,58,0,24,0,0,NO,0,15,16,0,-1,31,1,WR,9.8
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,NO,0,15,16,0,-1,31,1,WR,0.0
Chris Moore,TEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,NO,0,15,16,0,-1,31,1,WR,0.0
Derek Carr,NO,23,33,305,1,1,4,23,45,96.1,3,4,0,7,0,0,0,0,0,0,0,TEN,1,16,15,1,1,31,1,QB,15.600000000000003
Jamaal Williams,NO,0,0,0,0,0,0,0,0,0.0,18,45,0,11,2,2,7,0,5,1,0,TEN,1,16,15,1,1,31,1,RB,7.2
Rashid Shaheed,NO,0,0,0,0,0,0,0,0,0.0,2,11,0,6,6,5,89,1,41,1,1,TEN,1,16,15,1,1,31,1,WR,20.0
Tony Jones,NO,0,0,0,0,0,0,0,0,0.0,1,5,0,5,0,0,0,0,0,0,0,TEN,1,16,15,1,1,31,1,RB,0.5
Taysom Hill,NO,0,0,0,0,0,0,0,0,0.0,3,4,0,4,1,0,0,0,0,0,0,TEN,1,16,15,1,1,31,1,TE,0.4
Chris Olave,NO,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,8,112,0,45,0,0,TEN,1,16,15,1,1,31,1,WR,19.200000000000003
Michael Thomas,NO,0,0,0,0,0,0,0,0,0.0,0,0,0,0,8,5,61,0,25,0,0,TEN,1,16,15,1,1,31,1,WR,11.1
Juwan Johnson,NO,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,3,36,0,27,0,0,TEN,1,16,15,1,1,31,1,TE,6.6
Keith Kirkwood,NO,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,TEN,1,16,15,1,1,31,1,WR,0.0
CJ Stroud,HOU,28,44,242,0,0,5,46,26,78.0,4,20,0,11,1,1,0,0,0,1,1,BAL,0,9,25,0,-16,34,1,QB,11.68
Dameon Pierce,HOU,0,0,0,0,0,0,0,0,0.0,11,38,0,7,3,2,9,0,9,0,0,BAL,0,9,25,0,-16,34,1,RB,6.700000000000001
Devin Singletary,HOU,0,0,0,0,0,0,0,0,0.0,7,15,0,4,0,0,0,0,0,0,0,BAL,0,9,25,0,-16,34,1,RB,1.5
Nico Collins,HOU,0,0,0,0,0,0,0,0,0.0,0,0,0,0,11,6,80,0,26,0,0,BAL,0,9,25,0,-16,34,1,WR,14.0
Robert Woods,HOU,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,6,57,0,19,0,0,BAL,0,9,25,0,-16,34,1,WR,11.7
Tank Dell,HOU,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,3,34,0,13,0,0,BAL,0,9,25,0,-16,34,1,WR,6.4
Mike Boone,HOU,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,3,18,0,12,0,0,BAL,0,9,25,0,-16,34,1,RB,4.8
Teagan Quitoriano,HOU,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,11,0,11,0,0,BAL,0,9,25,0,-16,34,1,TE,2.1
Xavier Hutchinson,HOU,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,9,0,9,0,0,BAL,0,9,25,0,-16,34,1,WR,1.9
Dalton Schultz,HOU,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,2,4,0,5,0,0,BAL,0,9,25,0,-16,34,1,TE,2.4
Noah Brown,HOU,0,0,0,0,0,0,0,0,0.0,1,-1,0,-1,4,3,20,0,7,0,0,BAL,0,9,25,0,-16,34,1,WR,4.9
Lamar Jackson,BAL,17,22,169,0,1,4,14,29,79.5,6,38,0,14,0,0,0,0,0,2,1,HOU,1,25,9,1,16,34,1,QB,8.56
Gus Edwards,BAL,0,0,0,0,0,0,0,0,0.0,8,32,0,13,0,0,0,0,0,0,0,HOU,1,25,9,1,16,34,1,RB,3.2
JK Dobbins,BAL,0,0,0,0,0,0,0,0,0.0,8,22,1,4,3,2,15,0,10,0,0,HOU,1,25,9,1,16,34,1,RB,11.7
Zay Flowers,BAL,0,0,0,0,0,0,0,0,0.0,2,9,0,6,10,9,78,0,21,0,0,HOU,1,25,9,1,16,34,1,WR,17.700000000000003
Justice Hill,BAL,0,0,0,0,0,0,0,0,0.0,8,9,2,4,0,0,0,0,0,0,0,HOU,1,25,9,1,16,34,1,RB,12.9
Odell Beckham,BAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,2,37,0,29,0,0,HOU,1,25,9,1,16,34,1,WR,5.7
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,3,35,0,18,0,0,HOU,1,25,9,1,16,34,1,WR,6.5
Isaiah Likely,BAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,4,0,4,0,0,HOU,1,25,9,1,16,34,1,TE,1.4
Charlie Kolar,BAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,HOU,1,25,9,1,16,34,1,TE,0.0
Joe Burrow,CIN,14,31,82,0,0,2,15,12,52.2,1,-1,0,-1,0,0,0,0,0,0,0,CLE,0,3,24,0,-21,27,1,QB,3.18
Jake Browning,CIN,0,1,0,0,0,0,0,0,39.6,1,-1,0,-1,0,0,0,0,0,0,0,CLE,0,3,24,0,-21,27,1,QB,-0.1
Joe Mixon,CIN,0,0,0,0,0,0,0,0,0.0,13,56,0,22,5,3,17,0,10,0,0,CLE,0,3,24,0,-21,27,1,RB,10.3
Chris Evans,CIN,0,0,0,0,0,0,0,0,0.0,2,12,0,7,1,1,-1,0,-1,0,0,CLE,0,3,24,0,-21,27,1,RB,2.1
Trayveon Williams,CIN,0,0,0,0,0,0,0,0,0.0,2,7,0,5,0,0,0,0,0,0,0,CLE,0,3,24,0,-21,27,1,RB,0.7000000000000001
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,0.0,1,2,0,2,9,5,39,0,12,0,0,CLE,0,3,24,0,-21,27,1,WR,9.1
Irv Smith,CIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,3,17,0,8,0,0,CLE,0,3,24,0,-21,27,1,TE,4.7
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,2,10,0,6,0,0,CLE,0,3,24,0,-21,27,1,WR,3.0
Tee Higgins,CIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,CLE,0,3,24,0,-21,27,1,WR,0.0
Deshaun Watson,CLE,16,29,154,1,1,3,10,33,67.3,5,45,1,13,0,0,0,0,0,1,0,CIN,1,24,3,1,21,27,1,QB,19.66
Nick Chubb,CLE,0,0,0,0,0,0,0,0,0.0,18,106,0,17,4,4,21,0,10,0,0,CIN,1,24,3,1,21,27,1,RB,16.700000000000003
Jerome Ford,CLE,0,0,0,0,0,0,0,0,0.0,15,36,0,17,0,0,0,0,0,1,1,CIN,1,24,3,1,21,27,1,RB,2.6
Elijah Moore,CLE,0,0,0,0,0,0,0,0,0.0,2,19,0,19,7,3,43,0,33,0,0,CIN,1,24,3,1,21,27,1,WR,9.2
Amari Cooper,CLE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,3,37,0,20,0,0,CIN,1,24,3,1,21,27,1,WR,6.7
David Njoku,CLE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,2,24,0,15,0,0,CIN,1,24,3,1,21,27,1,TE,4.4
Jordan Akins,CLE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,12,0,12,0,0,CIN,1,24,3,1,21,27,1,TE,2.2
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,12,0,12,0,0,CIN,1,24,3,1,21,27,1,WR,2.2
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,5,1,3,0,0,CIN,1,24,3,1,21,27,1,TE,8.5
Marquise Goodwin,CLE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,CIN,1,24,3,1,21,27,1,WR,0.0
David Bell,CLE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,CIN,1,24,3,1,21,27,1,WR,0.0
Jalen Hurts,PHI,22,33,170,1,0,3,16,23,89.2,9,37,0,14,0,0,0,0,0,1,1,NE,0,25,20,1,5,45,1,QB,13.5
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,0.0,14,54,0,16,4,4,20,0,8,0,0,NE,0,25,20,1,5,45,1,RB,11.4
Boston Scott,PHI,0,0,0,0,0,0,0,0,0.0,1,3,0,3,1,1,7,0,7,0,0,NE,0,25,20,1,5,45,1,RB,2.0
D'Andre Swift,PHI,0,0,0,0,0,0,0,0,0.0,1,3,0,3,2,1,0,0,0,0,0,NE,0,25,20,1,5,45,1,RB,1.3
AJ Brown,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,7,79,0,23,0,0,NE,0,25,20,1,5,45,1,WR,14.9
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,7,47,1,13,0,0,NE,0,25,20,1,5,45,1,WR,17.7
Quez Watkins,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,17,0,9,0,0,NE,0,25,20,1,5,45,1,WR,3.7
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,NE,0,25,20,1,5,45,1,TE,0.0
Mac Jones,NE,35,54,316,3,1,2,10,32,91.3,2,15,0,8,0,0,0,0,0,0,0,PHI,1,20,25,0,-5,45,1,QB,25.14
Ezekiel Elliott,NE,0,0,0,0,0,0,0,0,0.0,7,29,0,11,7,5,14,0,6,1,1,PHI,1,20,25,0,-5,45,1,RB,8.3
Rhamondre Stevenson,NE,0,0,0,0,0,0,0,0,0.0,12,25,0,5,6,6,64,0,32,0,0,PHI,1,20,25,0,-5,45,1,RB,14.9
Ty Montgomery,NE,0,0,0,0,0,0,0,0,0.0,1,7,0,7,3,2,9,0,11,0,0,PHI,1,20,25,0,-5,45,1,RB,3.6
Kendrick Bourne,NE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,11,6,64,2,19,0,0,PHI,1,20,25,0,-5,45,1,WR,24.4
Hunter Henry,NE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,5,56,1,13,0,0,PHI,1,20,25,0,-5,45,1,TE,16.6
Demario Douglas,NE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,4,40,0,23,0,0,PHI,1,20,25,0,-5,45,1,WR,8.0
Mike Gesicki,NE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,3,36,0,17,0,0,PHI,1,20,25,0,-5,45,1,TE,6.6
